store_id,food_category,food_item,expiry_date,todays_date,quantity,unit
8,Frozen,Frozen Vegetables,2025-06-09,2025-04-08,31,liters
8,Frozen,Frozen Vegetables,2025-07-03,2025-04-08,23,kg
8,Packaged,Pasta,2025-05-13,2025-04-08,47,liters
8,Meat,Pork,2025-04-13,2025-04-08,48,packs
8,Frozen,Frozen Pizza,2025-06-13,2025-04-08,5,liters
8,Bakery,Croissant,2025-04-09,2025-04-08,46,liters
8,Seafood,Salmon,2025-04-11,2025-04-08,41,packs
8,Dairy,Milk,2025-04-11,2025-04-08,12,pieces
8,Packaged,Cereal,2025-04-25,2025-04-08,32,pieces
8,Bakery,Croissant,2025-04-10,2025-04-08,50,packs
8,Bakery,Croissant,2025-04-11,2025-04-08,28,liters
8,Beverages,Water,2025-05-19,2025-04-08,8,pieces
8,Meat,Pork,2025-04-13,2025-04-08,12,pieces
8,Packaged,Pasta,2025-05-07,2025-04-08,40,liters
8,Dairy,Cheese,2025-04-11,2025-04-08,49,liters
8,Meat,Chicken,2025-04-11,2025-04-08,41,pieces
8,Produce,Apples,2025-04-09,2025-04-08,32,packs
8,Dairy,Cheese,2025-04-13,2025-04-08,35,pieces
8,Beverages,Water,2025-06-06,2025-04-08,42,packs
8,Dairy,Milk,2025-04-10,2025-04-08,11,packs
8,Meat,Chicken,2025-04-09,2025-04-08,49,liters
8,Meat,Chicken,2025-04-13,2025-04-08,30,kg
8,Dairy,Milk,2025-04-11,2025-04-08,45,pieces
8,Dairy,Yogurt,2025-04-12,2025-04-08,7,packs
8,Beverages,Water,2025-05-08,2025-04-08,35,packs
8,Produce,Lettuce,2025-04-11,2025-04-08,45,liters
8,Bakery,Croissant,2025-04-13,2025-04-08,4,kg
8,Beverages,Soda,2025-05-13,2025-04-08,8,packs
8,Beverages,Water,2025-05-28,2025-04-08,18,liters
8,Meat,Chicken,2025-04-09,2025-04-08,21,kg
8,Produce,Lettuce,2025-04-10,2025-04-08,20,kg
8,Frozen,Ice Cream,2025-05-11,2025-04-08,17,liters
8,Dairy,Milk,2025-04-13,2025-04-08,8,liters
8,Dairy,Cheese,2025-04-10,2025-04-08,20,liters
8,Bakery,Croissant,2025-04-12,2025-04-08,5,packs
8,Seafood,Shrimp,2025-04-10,2025-04-08,25,packs
8,Beverages,Soda,2025-05-23,2025-04-08,31,kg
8,Produce,Apples,2025-04-12,2025-04-08,17,kg
8,Beverages,Soda,2025-05-13,2025-04-08,21,liters
8,Meat,Beef,2025-04-12,2025-04-08,6,liters
